,Year,Quarter,Month,Employee,Cost Object,Paid FTE,Salary,Overhead,Total Expenses
166,2010,Q3,7,Employee 100,::DC/GO/CIS/BY/Minsk,1.0,1700.0,609.6206999999999,2309.6207
167,2010,Q3,8,Employee 9,::DC/GO/CIS/BY/Minsk,1.0,2099.9999,676.5166999999999,2776.5166
168,2010,Q3,8,Employee 22,::DC/GO/CIS/BY/Minsk,0.3409090909090909,784.091,230.63059999999996,1014.7216
169,2010,Q3,8,Employee 49,::DC/GO/CIS/BY/Minsk,1.0,2000.0,676.5167000000001,2676.5167
170,2010,Q3,8,Employee 100,::DC/GO/CIS/BY/Minsk,1.0,1700.0,676.5166999999997,2376.5166999999997
171,2010,Q3,9,Employee 9,::DC/GO/CIS/BY/Minsk,0.9999999336970431,2100.0,614.0501,2714.0501000000004
172,2010,Q3,9,Employee 22,::DC/GO/CIS/BY/Minsk,0.5,1150.0,307.0248999999999,1457.0249
173,2010,Q3,9,Employee 49,::DC/GO/CIS/BY/Minsk,1.000000042755654,1999.9998999999998,614.0500999999997,2614.0499999999997
174,2010,Q3,9,Employee 100,::DC/GO/CIS/BY/Minsk,0.9999998910395647,1700.0,614.0499,2314.0499
175,2010,Q4,10,Employee 9,::DC/GO/CIS/BY/Minsk,1.0000000024130316,2100.0,637.2290000000002,2737.2290000000003
176,2010,Q4,10,Employee 22,::DC/GO/CIS/BY/Minsk,0.5,1150.0,318.6145999999999,1468.6145999999999
177,2010,Q4,10,Employee 49,::DC/GO/CIS/BY/Minsk,0.9999999849242251,2000.0001,637.2293000000002,2637.2294
178,2010,Q4,10,Employee 100,::DC/GO/CIS/BY/Minsk,1.0000000582224626,1700.0,637.2295000000001,2337.2295000000004
179,2010,Q4,11,Employee 9,::DC/GO/CIS/BY/Minsk,0.9999999390968307,2100.0,589.6517000000001,2689.6517000000003
180,2010,Q4,11,Employee 22,::DC/GO/CIS/BY/Minsk,1.0000000756210636,2300.0,589.6516999999999,2889.6517
181,2010,Q4,11,Employee 49,::DC/GO/CIS/BY/Minsk,1.0000000202195127,1999.9998999999998,589.6518000000001,2589.6517
182,2010,Q4,11,Employee 100,::DC/GO/CIS/BY/Minsk,0.9999999268961584,1700.0,589.6516000000001,2289.6516
183,2010,Q1,3,Employee 42,::DC/GO/CIS/BY/Minsk,0.10638297290768191,255.31920000000002,56.03919999999994,311.35839999999996
184,2010,Q2,4,Employee 42,::DC/GO/CIS/BY/Minsk,1.0,2400.0,677.8367000000003,3077.8367000000003
185,2010,Q2,5,Employee 42,::DC/GO/CIS/BY/Minsk,1.000000042817765,2399.9999000000003,629.8110999999997,3029.8109999999997
186,2010,Q2,6,Employee 42,::DC/GO/CIS/BY/Minsk,0.9999999922773785,2400.0001,646.8165,3046.8166
187,2010,Q3,7,Employee 42,::DC/GO/CIS/BY/Minsk,0.9999999857599523,2400.0,609.6206999999999,3009.6207
188,2010,Q3,9,Employee 34,::DDC/SAP/Minsk,0.9890110474892421,3214.2859,577.0785000000001,3791.3644
189,2010,Q4,12,Employee 34,::DDC/SAP/Minsk,0.8333337257936989,2708.3335,476.7029999999999,3185.0365
190,2010,Q2,5,Employee 48,::DC/GO/CIS/BY/Minsk,0.8076922467375618,255.7693,508.69340000000005,764.4627
191,2010,Q2,6,Employee 48,::DC/GO/CIS/BY/Minsk,0.9999999197445051,350.0,646.8163999999999,996.8163999999999
192,2010,Q2,6,Employee 57,::DC/GO/CIS/BY/Minsk,0.933522997194618,326.7329,603.8179,930.5508
193,2010,Q3,7,Employee 29,::DC/GO/CIS/BY/Minsk,0.8710228822133227,348.4091,530.9936,879.4027000000001
194,2010,Q3,7,Employee 48,::DC/GO/CIS/BY/Minsk,0.9999998809053031,350.0,609.6204000000002,959.6204000000001
195,2010,Q3,7,Employee 57,::DC/GO/CIS/BY/Minsk,1.0,350.0,609.6207,959.6207
196,2010,Q3,7,Employee 81,::DC/GO/CIS/BY/Minsk,0.4193180958368656,167.7273,255.6249,423.3522
197,2010,Q3,8,Employee 29,::DC/GO/CIS/BY/Minsk,1.00000002211719,400.0,676.5166999999999,1076.5167
198,2010,Q3,8,Employee 48,::DC/GO/CIS/BY/Minsk,1.0,350.0,676.5167000000001,1026.5167000000001
199,2010,Q3,8,Employee 57,::DC/GO/CIS/BY/Minsk,1.0,350.0,676.5166999999999,1026.5167
200,2010,Q3,8,Employee 81,::DC/GO/CIS/BY/Minsk,0.22636109699567228,90.5444,153.137,243.6814
201,2010,Q3,9,Employee 29,::DC/GO/CIS/BY/Minsk,1.0,400.0,614.0500999999998,1014.0500999999998
202,2010,Q3,9,Employee 48,::DC/GO/CIS/BY/Minsk,1.0,350.0,614.0501,964.0501
203,2010,Q3,9,Employee 57,::DC/GO/CIS/BY/Minsk,1.0,350.0,614.0501,964.0501
204,2010,Q3,9,Employee 81,::DC/GO/CIS/BY/Minsk,1.0,400.0,614.0500999999999,1014.0500999999999
205,2010,Q4,10,Employee 29,::DC/GO/CIS/BY/Minsk,1.0,400.0,637.2293,1037.2293
206,2010,Q4,10,Employee 48,::DC/GO/CIS/BY/Minsk,1.0,350.0,637.2293000000001,987.2293000000001
207,2010,Q4,10,Employee 57,::DC/GO/CIS/BY/Minsk,1.0,350.0,637.2292999999999,987.2292999999999
208,2010,Q4,10,Employee 81,::DC/GO/CIS/BY/Minsk,1.0,400.0,637.2293000000002,1037.2293000000002
209,2010,Q4,11,Employee 29,::DC/GO/CIS/BY/Minsk,1.0,400.0,589.6518000000001,989.6518000000001
210,2010,Q4,11,Employee 48,::DC/GO/CIS/BY/Minsk,1.0,350.0,589.6518,939.6518
211,2010,Q4,11,Employee 57,::DC/GO/CIS/BY/Minsk,1.0,350.0,589.6518,939.6518
212,2010,Q4,11,Employee 81,::DC/GO/CIS/BY/Minsk,1.0,400.0,589.6518,989.6518
213,2010,Q2,4,Employee 52,::DC/GO/CIS/BY/Minsk,0.9487179925724425,521.7949,643.0758000000001,1164.8707
214,2010,Q2,4,Employee 56,::DC/GO/CIS/BY/Minsk,0.8529412660373537,486.1764,578.1551,1064.3315
215,2010,Q2,4,Employee 101,::DC/GO/CIS/BY/Minsk,0.9516129744334485,475.80649999999997,645.0381,1120.8446
216,2010,Q2,5,Employee 52,::DC/GO/CIS/BY/Minsk,0.7483221698363376,411.5772,471.30150000000015,882.8787000000002
217,2010,Q2,5,Employee 56,::DC/GO/CIS/BY/Minsk,0.48511904761904767,276.5179,305.53350000000006,582.0514000000001
218,2010,Q2,5,Employee 101,::DC/GO/CIS/BY/Minsk,0.7307691831097981,365.38460000000003,460.2465,825.6311000000001
219,2010,Q2,6,Employee 52,::DC/GO/CIS/BY/Minsk,0.5604838170613013,308.2661,362.5303,670.7964
220,2010,Q2,6,Employee 56,::DC/GO/CIS/BY/Minsk,0.6955128563355961,396.4423,449.8692,846.3114999999999
221,2010,Q2,6,Employee 101,::DC/GO/CIS/BY/Minsk,0.6960227272727274,348.0114,450.19920000000013,798.2106000000001
222,2010,Q3,7,Employee 52,::DC/GO/CIS/BY/Minsk,0.9051204279009057,497.8163,551.7801,1049.5964
